Booking room;;;
Firstname;Lastname;Email;Phone number
John;Smith;john.smith@example.com;(555) 123-4567
;Johnson;sarah.johnson@example.com;(555) 987-6543
Michael;;michael.williams@example.com;(555) 555-1212
Jessica;Brown;;(555) 555-1234
David;Davis;david.davis@example.com;
Emily;Wilson;emily.wilson@example.com;(555) 456-7890
James;Rodriguez;james.rodriguez@example.com;(555) 555-5555
Ashley;Martinez;ashley.martinez@example.com;(555) 555-1234
William;Anderson;william.anderson@example.com;(555) 123-4567
Olivia;Taylor;olivia.taylor@example.com;(555) 555-5555
